All Players   Projections Standard Categories
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank,
W ,Aaron Judge OF | NYY,523,121,172,90,32,3,47,116,104,165,11,3,.329,.446,.671,1
W ,Daulton Varsho OF | TOR ,553,92,133,68,26,8,31,96,46,162,8,3,.240,.303,.485,178
W ,Bryan Reynolds OF | PIT,555,75,157,93,35,4,25,85,54,151,6,2,.283,.354,.495,179
W ,Chandler Simpson OF | TB,474,67,145,112,21,6,6,43,34,70,41,12,.306,.353,.413,180
W ,Brenton Doyle OF | COL,456,66,115,75,22,2,16,63,34,123,21,3,.252,.304,.414,182
W ,JJ Wetherholt SS | STL ,473,61,124,83,24,3,14,55,37,117,16,4,.262,.322,.414,183
W ,Alejandro Kirk C | TOR ,478,50,126,87,20,1,18,83,51,74,1,0,.264,.333,.423,184
W ,Matt McLain 2B | CIN ,464,70,108,72,19,1,16,50,45,150,14,3,.233,.308,.382,185
W ,Isaac Paredes 3B | HOU,405,54,109,68,19,2,20,61,55,78,1,0,.269,.368,.474,186
W ,Jackson Holliday 2B | BAL ,447,61,112,76,18,3,15,49,43,110,13,7,.251,.321,.405,187
W ,Francisco Alvarez C | NYM ,406,55,104,66,20,1,17,60,39,112,1,0,.256,.328,.436,189
W ,Konnor Griffin SS | PIT ,254,33,68,45,13,2,8,30,22,64,9,2,.268,.331,.429,190
W ,Carter Jensen C | KC ,309,36,78,49,17,1,11,41,28,72,2,1,.252,.321,.421,191
W ,Ramon Laureano OF | SD ,485,73,141,84,32,4,21,81,32,129,10,5,.291,.344,.503,192
W ,Jorge Polanco 2B | NYM ,489,67,130,76,30,0,24,81,46,102,6,3,.266,.329,.474,193
W ,"Alec Burleson 1B,OF | STL ",493,60,144,94,25,3,22,73,37,85,7,2,.292,.342,.489,194
W ,Willson Contreras 1B | BOS,441,70,122,68,30,2,22,74,45,139,5,1,.277,.369,.503,195
W ,Munetaka Murakami 1B | CHW ,465,59,119,75,24,1,19,65,46,118,4,1,.256,.329,.434,196
W ,Daylen Lile OF | WAS,393,58,113,71,21,9,12,51,27,79,10,7,.287,.343,.478,197
W ,Kyle Teel C | CHW ,371,50,100,68,19,0,13,48,45,109,4,1,.270,.358,.426,200
W ,Colson Montgomery SS | CHW ,515,79,129,71,21,7,30,83,46,156,7,1,.251,.315,.493,202
W ,Kerry Carpenter OF | DET,467,70,125,69,23,5,28,73,32,124,3,1,.268,.322,.518,203
W ,Marcus Semien 2B | NYM ,493,76,124,81,22,2,19,75,53,103,12,2,.252,.326,.420,204
W ,"Addison Barger 3B,OF | TOR",481,68,122,67,31,2,22,74,43,126,5,1,.254,.318,.464,205
W ,Max Muncy 3B | LAD,422,65,103,61,19,2,21,75,73,112,5,1,.244,.363,.448,206
W ,Giancarlo Stanton OF | NYY ,480,63,121,63,23,0,35,103,44,180,1,0,.252,.317,.519,213
W ,Sal Frelick OF | MIL,542,79,150,107,23,5,15,67,45,101,17,5,.277,.336,.421,214
W ,Justin Crawford OF | PHI ,477,71,126,78,25,4,19,67,45,128,14,4,.264,.333,.453,215
W ,Christian Walker 1B | HOU ,507,67,131,79,25,1,26,83,43,149,2,1,.258,.326,.466,216
W ,Kevin McGonigle SS | DET ,470,65,123,80,24,4,15,59,39,123,16,4,.262,.323,.425,217
W ,Dylan Crews OF | WAS ,453,66,106,70,17,4,15,51,39,112,26,7,.234,.305,.389,218
W ,Kyle Manzardo 1B | CLE,435,53,112,62,20,2,28,69,50,125,3,1,.258,.341,.506,219
W ,Bryson Stott 2B | PHI,439,58,115,80,20,3,12,58,42,90,22,4,.262,.325,.403,220
W ,Chase DeLauter OF | CLE,455,60,113,71,22,3,17,57,46,123,12,3,.248,.324,.422,221
W ,J.T. Realmuto C | PHI ,480,59,127,85,25,2,15,56,35,128,7,2,.265,.326,.419,223
W ,Mickey Moniak OF | COL ,510,77,142,81,25,10,26,85,28,131,13,4,.278,.319,.520,226
W ,Xander Bogaerts SS | SD,563,76,157,106,34,1,16,68,44,118,21,3,.279,.331,.428,227
W ,Wilyer Abreu OF | BOS,476,70,124,73,23,1,27,83,47,128,10,4,.261,.328,.483,228
W ,Adolis Garcia OF | PHI,501,68,127,71,32,0,24,86,33,148,13,5,.254,.304,.461,229
W ,Spencer Steer 1B | CIN,476,67,121,70,24,3,24,80,51,117,12,1,.254,.333,.469,230
W ,Heliot Ramos OF | SF ,495,70,142,97,22,2,21,66,37,125,6,3,.287,.350,.467,231
W ,Ezequiel Tovar SS | COL,509,73,144,87,30,8,19,62,25,134,7,5,.283,.319,.485,232
W ,"Carlos Correa 3B,SS | HOU",516,71,162,115,29,2,16,64,50,104,1,0,.314,.375,.471,233
W ,"Otto Lopez 2B,SS | MIA ",487,63,128,88,22,1,17,73,42,93,14,6,.263,.325,.417,234
W ,Owen Caissie OF | MIA ,483,68,126,81,23,4,18,66,43,133,13,3,.261,.327,.437,235
W ,Jordan Beck OF | COL ,451,64,124,80,23,5,16,56,41,136,17,7,.275,.343,.455,236
W ,Trent Grisham OF | NYY ,480,79,111,68,15,1,27,68,66,146,4,1,.231,.329,.435,237
W ,Luis Garcia 2B | WAS,476,62,127,83,27,1,16,63,25,88,16,5,.267,.304,.429,238
W ,Bryce Eldridge DH | SF ,456,64,118,68,26,2,22,73,56,129,5,1,.259,.342,.469,239
W ,Andrew Vaughn 1B | MIL,471,54,126,79,25,1,21,85,34,104,1,0,.268,.322,.459,241
W ,Jasson Dominguez OF | NYY ,379,57,102,66,20,2,14,53,39,114,20,4,.269,.340,.443,242
W ,Alec Bohm 3B | PHI,494,60,144,99,28,4,13,75,34,88,3,1,.291,.342,.443,244
W ,Luis Arraez 1B | SF ,539,67,163,119,29,7,8,54,29,29,10,3,.302,.341,.427,245
W ,Tyler Stephenson C | CIN ,433,62,110,61,25,1,23,74,45,144,1,0,.254,.329,.476,246
W ,Colton Cowser OF | BAL ,464,62,104,57,23,2,22,62,44,179,15,2,.224,.302,.425,248
W ,Caleb Durbin 3B | BOS ,440,58,117,73,29,2,13,54,28,74,18,6,.266,.339,.429,249
W ,Jordan Westburg 3B | BAL ,401,63,110,71,18,2,19,54,24,106,3,3,.274,.326,.471,250
W ,Carson Benge OF | NYM ,383,58,100,61,20,3,16,55,39,100,11,3,.261,.335,.454,251
W ,Gleyber Torres 2B | DET ,495,68,130,92,24,0,14,61,61,108,4,1,.263,.344,.396,253
W ,TJ Friedl OF | CIN,411,61,107,74,16,2,15,52,52,87,10,2,.260,.356,.418,254
W ,Joshua Lowe OF | LAA ,478,65,104,59,25,3,17,51,43,148,18,5,.218,.290,.389,255
W ,"Brett Baty 2B,3B | NYM",389,54,102,65,17,3,17,52,34,105,8,1,.262,.324,.452,256
W ,Ryan Jeffers C | MIN,471,55,120,74,29,0,17,61,50,110,2,1,.255,.336,.425,260
