Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mickey Gasper","BOS",12.772,38.032,33.7837,7.74715,5.33888,1.55476,0.083147,0.770368,3.791,3.82043,3.26471,0.0915852,7.18807,0.62187,0.265239,0.0964515,0.725603,0.286835,0.0880526,0.229316,0.0858411,0.189001,0.454185,0.306671,0.348668,0.290724,0.655339,0.119352,3.37739,0.267407,,-0.0389908,3.80421,-0.68956,80.6163,-0.0389908,0.01,-0.907866645604372,0.9954938385635614,0.142892,999,,,,,,,38,2.923076923,38,2.923076923,,,,,,,,,,,,,,,,,,,"Mickey Gasper","24759",681508
"Jack Suwinski","LAD",34.908,119.076,104.409,21.6236,12.3186,4.30606,0.505546,4.49337,15.3064,14.0222,12.3834,0.44445,36.88,1.26037,0.78898,0.234509,1.4593,2.25105,0.660055,0.207105,0.103996,0.309718,0.335777,0.29676,0.38714,0.298848,0.6839,0.180035,5.45044,0.268396,,0.0114458,12.6962,-1.37353,90.8147,0.0114458,0,-1.284868547692895,-1.3125660419464111,0.13958,999,,,,,,,114.1,3.26,114.1,3.26,,,,,,,,,,,,,,,,,,,"Jack Suwinski","22244",669261
"Aidan Miller","PHI",13.498,53.438,48.0332,10.9352,7.25368,2.28064,0.165047,1.23582,6.29174,5.08139,4.36503,0.0404734,14.0015,0.646553,0.3167,0.0764948,0.743947,2.18712,0.331359,0.227659,0.081684,0.262015,0.311754,0.298844,0.359197,0.290554,0.658041,0.131538,5.94029,0.292921,,0.221024,5.33785,-0.976265,83.0132,0.221024,0,-0.8548383563756943,0.4166049361228943,0.137064,999,,,,,,,47.6,3.661538461,47.6,3.661538461,,,,,,,,,,,,,,,,,,,"Aidan Miller","sa3022609",805795
"Luke Maile","KCR",32.865,99.053,87.2195,18.2227,12.8808,3.51439,0.058796,1.76873,9.4254,8.79505,8.54126,0.0522782,27.8513,1.37781,0.585952,0.699262,1.79372,0.916939,0.364222,0.20893,0.0862292,0.281176,0.306673,0.287971,0.311409,0.269553,0.59938,0.102479,3.31061,0.282786,,-0.11594,8.20537,-3.4985,67.2121,-0.11594,0,-3.9437766522169113,1.8197567462921143,0.131494,999,,,,,,,76.1,2.306060606,76.1,2.306060606,,,,,,,,,,,,,,,,,,,"Luke Maile","13355",571912
"Starling Marte","KCR",62.019,253.834,230.406,59.7005,42.7133,10.6491,0.707246,5.63096,30.5471,25.793,15.6694,0.252793,52.1763,4.49379,1.51692,1.74787,5.66933,7.6062,2.53976,0.25911,0.0617308,0.205553,0.300316,0.316811,0.384786,0.307829,0.701597,0.125676,5.23247,0.310538,,0.0677414,28.9153,-1.07713,93.5787,0.0677414,-0.48,-1.8533421978354454,-5.6089849174022675,0.130369,999,,,,,,,266.8,4.303225806,266.8,4.303225806,,,,,,,,,,,,,,,,,,,"Starling Marte","9241",516782
"Maximo Acosta","MIA",22.733,82.533,75.937,17.7997,12.0631,3.63792,0.35318,1.74549,9.04132,7.9291,5.08318,0.0622736,20.4399,0.726777,0.526414,0.259675,1.30611,2.88243,0.760327,0.2344,0.0615897,0.247657,0.24869,0.286966,0.360568,0.283558,0.647533,0.126167,5.75567,0.295777,,0.147538,7.77533,-1.97658,78.4904,0.147538,-0.21,-1.956505924463272,0.45265601575374603,0.127077,999,,,,,,,76.1,3.308695652,76.1,3.308695652,,,,,,,,,,,,,,,,,,,"Maximo Acosta","27963",691185
"Austin Slater","DET",23.849,85.808,75.713,18.0021,12.4625,3.34351,0.19071,2.00539,9.76265,8.2316,8.28088,0.00366829,24.0198,1.07503,0.508983,0.230061,1.79509,1.0102,0.306202,0.237767,0.0965047,0.279925,0.344751,0.319685,0.366425,0.304657,0.68611,0.128658,3.87689,0.31868,,-0.0673682,9.5538,-0.585076,94.1599,-0.0673682,0.04,-0.658009372651577,-1.0641203746199608,0.125971,999,,,,,,,81.2,3.383333333,81.2,3.383333333,,,,,,,,,,,,,,,,,,,"Austin Slater","16153",596103
"Jake Bauers","MIL",85.176,309.456,269.936,55.6427,32.6769,10.7597,0.959699,11.2463,35.431,37.5892,34.9173,0.750097,95.1661,2.58446,1.63915,0.379368,3.45819,7.24769,2.22254,0.206133,0.112834,0.307527,0.366909,0.301363,0.378093,0.299136,0.679456,0.17196,4.97943,0.268804,,0.0810228,33.0674,-3.49721,91.2574,0.0810228,-0.34,-3.1254954040050507,-5.95043358206749,0.124795,999,,,,,,,306.3,3.603529411,306.3,3.603529411,,,,,,,,,,,,,,,,,,,"Jake Bauers","15194",641343
"Brice Matthews","HOU",18.439,68.411,61.45,12.8235,8.0673,2.39724,0.120422,2.23857,8.45684,6.71163,5.51012,0.0156121,23.4014,0.881526,0.34903,0.220288,0.806626,3.17662,0.460593,0.208682,0.0805443,0.342071,0.235461,0.281786,0.3609,0.283206,0.642686,0.152218,6.10479,0.292733,,0.351353,6.42535,-1.65794,80.2088,0.351353,0.16,-1.244415432214737,0.10308949649333954,0.124133,744.25,,,,,,,63.1,3.505555555,63.1,3.505555555,,,,,,,,,,,,,,,,,,,"Brice Matthews","33280",694728
"Alex Verdugo","SDP",24.153,88.605,80.2719,19.9175,13.8156,4.2538,0.0886952,1.75937,9.31536,9.14764,6.87568,0.144459,13.1753,0.576286,0.653603,0.2275,2.0111,0.426299,0.158678,0.248125,0.0775992,0.148697,0.521862,0.309688,0.36908,0.298213,0.678768,0.120955,2.7972,0.275161,,-0.11917,9.40166,-1.0677,93.6095,-0.11917,0,-0.7902694568037987,-0.9766865372657776,0.120826,999,,,,,,,86.4,3.6,86.4,3.6,,,,,,,,,,,,,,,,,,,"Alex Verdugo","17027",657077
