Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ty Madden","DET",1,1,1,4.42954,19,2,0,1,,24,104,23,13,12,3,9,,1,21,7.93631,3.43306,2.31173,1.23239,0.205971,0.089098,0.1168728694319725,0.249078,1.34081,0.290314,0.699024,,,4.44047,0.0656612,0.00887456,999,,,,,,,96.90000000000002,4.0375000000000005,97,4.041666666666667,,,,,,,,,,,,,,,,,,,"Ty Madden","30140",680744
"Scott Barlow","ATH",3,3,0,4.26173,54,0,2,9,,54,234,48,28,26,6,29,,3,56,9.29159,4.77503,1.94587,1.05264,0.238246,0.122437,0.11580925434827805,0.235255,1.41259,0.29427,0.716981,,,4.34303,0.0650646,0.0317217,999,,,,,,,263,4.87037037037037,254,4.703703703703703,,,,,,,,,,,,,,,,,,,"Scott Barlow","14993",605130
"Josh White","MIA",3,2,0,3.91392,47,0,0,1,,47,201,41,22,20,6,20,,2,51,9.85406,3.86509,2.5495,1.07298,0.25602,0.10042,0.15560059249401093,0.232374,1.31188,0.295435,0.730932,,,3.9327,0.062868,0.0549385,999,,,,,,,207.4,4.412765957446808,197,4.191489361702128,,,,,,,,,,,,,,,,,,,"Josh White","sa3019953",687985
"Colin Selby","BAL",3,2,0,3.81712,45,0,0,1,,45,194,40,21,19,5,19,,2,48,9.57574,3.83883,2.49444,1.00161,0.247435,0.0991945,0.14824064075946808,0.23285,1.31688,0.294159,0.735219,,,3.883,0.0614679,0.0195835,999,,,,,,,204.5,4.544444444444444,197,4.377777777777778,,,,,,,,,,,,,,,,,,,"Colin Selby","24986",681882
"Isaac Mattson","PIT",3,3,0,4.23812,64,0,2,13,,64,277,58,33,30,8,29,,3,63,8.81936,4.13503,2.13284,1.16653,0.22641,0.106154,0.12025567144155502,0.236688,1.36302,0.285802,0.718281,,,4.39198,0.0603769,0.236534,999,,,,,,,316.40000000000003,4.9437500000000005,308,4.8125,,,,,,,,,,,,,,,,,,,"Isaac Mattson","20385",676755
"Justin Martinez","ARI",2,1,0,3.10988,22,0,0,1,,22,94,17,8,8,2,11,,1,27,11.0113,4.68091,2.35238,0.633502,0.286345,0.121726,0.16461920738220215,0.211816,1.30381,0.296464,0.768631,,,3.32155,0.0595381,0.095107,999,,,,,,,116.00000000000001,5.272727272727273,106,4.818181818181818,,,,,,,,,,,,,,,,,,,"Justin Martinez","24453",679885
"Casey Legumina","SEA",3,2,0,3.54338,50,0,0,4,,50,215,42,22,20,6,20,,2,52,9.38102,3.53055,2.6571,1.11349,0.242613,0.0913073,0.15130537748336792,0.218445,1.23447,0.267156,0.758017,,,3.98163,0.0587935,0.0770741,999,,,,,,,241,4.82,226,4.52,,,,,,,,,,,,,,,,,,,"Casey Legumina","25921",668984
"Tyler Kinley","ATL",4,3,0,4.0519,63,0,0,13,,63,268,53,31,28,8,29,,3,67,9.60295,4.07707,2.35535,1.2107,0.250823,0.106491,0.14433257281780243,0.226218,1.30148,0.280073,0.727442,,,4.25985,0.058636,0.247323,999,,,,,,,320.00000000000006,5.07936507936508,301,4.777777777777778,,,,,,,,,,,,,,,,,,,"Tyler Kinley","18297",641755
"Evan Sisk","PIT",2,2,0,3.80944,40,0,0,1,,40,174,37,18,17,4,17,,2,39,8.82988,3.83013,2.30537,0.864213,0.225739,0.0979188,0.12782055884599686,0.239856,1.35391,0.297969,0.731139,,,3.84844,0.0576841,0.0724606,999,,,,,,,175.60000000000002,4.390000000000001,173,4.325,,,,,,,,,,,,,,,,,,,"Evan Sisk","24995",681895
"Josh Sborz","TEX",3,3,0,4.25136,58,0,0,10,,58,250,53,30,27,8,25,,3,57,8.80869,3.8173,2.30757,1.20691,0.226955,0.0983523,0.12860260158777237,0.239418,1.34316,0.287969,0.715953,,,4.3429,0.0568538,-0.0555821,999,,,,,,,263.00000000000006,4.53448275862069,256,4.413793103448276,,,,,,,,,,,,,,,,,,,"Josh Sborz","18323",622250
