Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Casey Anderson","ARI",0,0,0,5.70506,1,1,0,0,,3.5559,16,4,2,2,1,2,0,0,2,5.14874,4.65864,1.1052,1.31504,0.1235,0.111744,0.011755779385566711,0.28161,1.66069,0.298413,0.665011,,,5.61008,-0.0173131,0.0254149,999,,,,,,,1.6136607170104984,0.45379810260145054,2.7795004844665527,0.7816587667620144,,,,,,,,,,,,,,,,,,,"Casey Anderson","sa3022742",814783
"Marcos Herrera","COL",0,0,0,6.6037,1,1,0,0,,4.52127,20,5,4,3,1,3,0,0,2,4.86416,5.0612,0.961069,1.49744,0.121356,0.126272,-0.004915952682495117,0.296072,1.69797,0.309781,0.611973,,,6.07094,-0.0173364,-0.0588958,999,,,,,,,3.157382392883303,0.6983400384695462,4.606339454650879,1.018815864437354,,,,,,,,,,,,,,,,,,,"Marcos Herrera","sa3019261",800154
"Jaitoine Kelly","ARI",0,0,0,6.00119,1,1,0,0,,4.51667,18,5,3,3,1,2,0,0,2,3.77796,3.4279,1.10212,1.37726,0.105332,0.0955721,0.009759873151779175,0.286413,1.40013,0.290107,0.566529,,,5.56466,-0.0173589,-0.0108803,999,,,,,,,6.123334980010984,1.3557198549809821,7.583334445953369,1.6789669532862541,,,,,,,,,,,,,,,,,,,"Jaitoine Kelly","sa3024275",823858
"Jonathan Jimenez","NYM",0,0,0,5.81598,1,1,0,0,,3.11579,14,3,2,2,1,1,0,0,1,4.26436,4.1447,1.02887,1.48722,0.108301,0.105262,0.0030389130115509033,0.274318,1.52019,0.277438,0.631867,,,5.87192,-0.0173629,-0.0100535,999,,,,,,,1.9568416595458986,0.6280404096301906,1.5789470672607422,0.5067566698968089,,,,,,,,,,,,,,,,,,,"Jonathan Jimenez","sa3022343",815183
"Wilfredo Pereira","STL",0,0,0,5.80034,1,1,0,0,,4.00639,18,4,3,3,1,2,0,0,2,4.96502,3.73934,1.32778,1.59236,0.12505,0.09418,0.03087041527032852,0.277953,1.51221,0.285906,0.639216,,,5.72943,-0.0174111,-0.04883,999,,,,,,,4.947307872772216,1.2348533774338653,5.0319647789001465,1.255983832449716,,,,,,,,,,,,,,,,,,,"Wilfredo Pereira","sa917136",668579
"Kevin Miranda",,0,0,0,6.20093,1,1,0,0,,2.98442,13,3,2,2,1,1,0,0,1,3.55839,3.5735,0.995773,1.66191,0.090066,0.0904484,-0.00038236379623413086,0.287779,1.53183,0.282506,0.612029,,,6.08483,-0.0174308,-0.0169465,999,,,,,,,0.9847155094146745,0.3299519419465558,0.922105073928833,0.3089728524763874,,,,,,,,,,,,,,,,,,,"Kevin Miranda","sa3020757",806656
"Nick Payero",,0,0,0,5.3585,1,1,0,0,,4.4096,19,4,3,3,1,2,0,0,3,5.25726,3.80006,1.38347,1.51784,0.135297,0.0977957,0.037501752376556396,0.260588,1.4243,0.269486,0.651414,,,5.57541,-0.0174857,-0.0448487,999,,,,,,,9.931027793884278,2.2521388581121284,9.047991752624512,2.0518856896677384,,,,,,,,,,,,,,,,,,,"Nick Payero","sa3022956",809579
"David Rodriguez","KCR",0,0,0,6.18115,1,1,0,0,,3.025,14,3,2,2,1,1,0,0,2,5.2139,4.24249,1.22897,1.65175,0.127451,0.103705,0.02374541014432907,0.287352,1.62676,0.298304,0.639961,,,5.9365,-0.0175665,-0.00777015,999,,,,,,,3.2850007057189936,1.0859506122825364,3.125000476837158,1.0330579763031644,,,,,,,,,,,,,,,,,,,"David Rodriguez","sa3018810",703330
"Juan Fraide","HOU",0,0,0,6.21979,1,1,0,0,,3,12,3,2,2,1,1,0,0,1,4.43421,4.11483,1.07762,1.56227,0.121153,0.112427,0.008726075291633606,0.277699,1.44598,0.281651,0.57455,,,5.92461,-0.0176312,-0.0159687,999,,,,,,,1.1000000000000023,0.3666666666666674,1,0.3333333333333333,,,,,,,,,,,,,,,,,,,"Juan Fraide","sa3067603",830004
"Francisco Pazos","SEA",0,0,0,5.45624,1,1,0,0,,3.79919,17,4,3,2,1,2,0,0,2,4.75268,4.14735,1.14596,1.35213,0.120515,0.105165,0.015349678695201874,0.268367,1.49924,0.278333,0.649452,,,5.56937,-0.0178657,-0.0784453,999,,,,,,,3.4139745712280263,0.8986069103492071,3.9959287643432617,1.0517855730865633,,,,,,,,,,,,,,,,,,,"Francisco Pazos","sa3022380",802387
"Joey Gartrell","BOS",0,0,0,6.20625,1,1,0,0,,2.36471,11,3,2,2,0,1,0,0,1,5.29742,5.60769,0.94467,1.46195,0.1226,0.129781,-0.007180765271186829,0.286092,1.80105,0.301666,0.665895,,,6.12022,-0.0178853,-0.0445352,999,,,,,,,8.698822927474975,3.6786068371630405,10.82352900505066,4.577114413313982,,,,,,,,,,,,,,,,,,,"Joey Gartrell","sa3032013",813745
"Ricardo Brizuela",,0,0,0,6.22629,1,1,0,0,,3.66957,16,4,3,3,1,2,0,0,1,3.64523,3.94589,0.923805,1.59998,0.0937634,0.101497,-0.007733508944511414,0.28445,1.52812,0.280756,0.603888,,,6.10255,-0.018001,-0.0669281,999,,,,,,,0.45480542182922257,0.1239397620146723,1.347841501235962,0.367302470196608,,,,,,,,,,,,,,,,,,,"Ricardo Brizuela","sa3019290",804870
"Jormy Nivar","TEX",0,0,0,6.03729,1,1,0,0,,3.24444,15,4,2,2,0,2,0,0,1,3.46458,4.43504,0.781185,1.32614,0.0838855,0.107382,-0.023496873676776886,0.290766,1.66802,0.292882,0.639891,,,5.92229,-0.0180322,-0.00300693,999,,,,,,,9.608888339996339,2.961643734146491,12.222221851348877,3.7671232594851363,,,,,,,,,,,,,,,,,,,"Jormy Nivar","sa3022022",808343
"Tyler Switalski","SFG",0,0,0,5.87789,1,1,0,0,,4.00833,17,4,3,3,1,2,0,0,2,4.06261,3.97774,1.02134,1.29901,0.106695,0.104466,0.00222913920879364,0.285211,1.50839,0.293347,0.608628,,,5.58382,-0.0182413,-0.049398,999,,,,,,,4.961665725708004,1.2378376423552264,5.041666030883789,1.257796139082122,,,,,,,,,,,,,,,,,,,"Tyler Switalski","sa3043424",802000
"Brooks Auger","LAD",0,0,0,5.98124,1,1,0,0,,4.14091,18,4,3,3,1,2,0,0,2,4.36654,4.10401,1.06397,1.59788,0.111053,0.104376,0.006676860153675079,0.276083,1.52209,0.277778,0.625209,,,5.9949,-0.0182453,-0.0367111,999,,,,,,,5.942728042602541,1.435126384769619,5.704545974731445,1.3776071162568533,,,,,,,,,,,,,,,,,,,"Brooks Auger","sa3026300",824624
"Samuel Colmenares","TOR",0,0,0,6.07081,1,1,0,0,,3.33616,15,3,2,2,1,2,0,0,2,5.07029,4.58578,1.10566,1.63316,0.128204,0.115953,0.012251049280166626,0.273259,1.5565,0.280409,0.6294,,,6.05599,-0.0183758,0.00410618,999,,,,,,,2.587550067901611,0.7756083714182599,1.6807770729064941,0.5038065869354706,,,,,,,,,,,,,,,,,,,"Samuel Colmenares","sa3021762",807973
"Wuilliams Rodriguez","BOS",0,0,0,6.60743,1,1,0,0,,2.14344,10,3,2,2,0,1,0,0,1,3.08341,4.17381,0.738751,1.56847,0.0771053,0.104372,-0.027267180383205414,0.300124,1.64244,0.29451,0.601076,,,6.26345,-0.0183768,-0.0572376,999,,,,,,,7.061422538757324,3.294441381857174,9.717177391052246,4.533459247938315,,,,,,,,,,,,,,,,,,,"Wuilliams Rodriguez","sa3021523",808252
"Tommy Mace","CLE",0,0,0,5.88831,1,1,0,0,,4.46459,19,5,3,3,1,2,0,0,2,4.20747,4.44371,0.946836,1.32026,0.10973,0.115891,-0.006161250174045563,0.278381,1.52793,0.286213,0.614976,,,5.74351,-0.0183907,-0.0261702,999,,,,,,,5.737984180450443,1.2852201485240364,7.322962284088135,1.6402308508373822,,,,,,,,,,,,,,,,,,,"Tommy Mace","sa3018140",676390
